price,make,model,mileage_km,registration_date,body_type,transmission,primary_fuel
181580.0,BMW,750,1.0,2025-01-01,Sedan,Automatic,Super 95
37500.0,BMW,X4,50009.0,2021-01-01,SUV,Automatic,Super 95
49500.0,BMW,M2,27000.0,2020-05-01,Coupe,Automatic,Super Plus E10 98
12900.0,BMW,118,143603.0,2015-12-01,Hatchback,Automatic,Super 95
67900.0,Porsche,Panamera,75000.0,2020-08-01,Sedan,Automatic,Super 95
49900.0,Mercedes-Benz,CLE 180,9900.0,2025-05-01,Coupe,Automatic,Super E10 95
53977.0,BMW,X5,93776.0,2022-06-01,SUV,Automatic,Diesel
40450.0,Mercedes-Benz,CLA 200,9900.0,2025-07-01,Coupe,Automatic,Super E10 95
108786.0,Porsche,Macan,10.0,2025-01-01,SUV,Automatic,Electricity
36350.0,Mercedes-Benz,A 200,9900.0,2025-06-01,Sedan,Automatic,Super E10 95
90980.0,Porsche,Cayenne,39950.0,2023-01-01,Coupe,Automatic,Regular/Benzine 91
51750.0,BMW,X5,46000.0,2015-07-01,SUV,Automatic,Regular/Benzine 91
21990.0,BMW,520,169000.0,2016-02-01,Sedan,Automatic,Diesel
106950.0,Mercedes-Benz,EQS,17247.0,2024-01-01,Hatchback,Automatic,Electricity
125000.0,Porsche,Cayenne,20000.0,2024-09-01,SUV,Automatic,Super 95
85980.0,Audi,Q7,4500.0,2025-09-01,SUV,Automatic,Diesel
4400.0,BMW,320,233400.0,2002-08-01,Coupe,Manual,Regular/Benzine 91
74990.0,Porsche,Cayman,78000.0,2015-10-01,Coupe,Automatic,Super Plus 98
36450.0,Mercedes-Benz,A 180,8000.0,2025-07-01,Sedan,Automatic,Diesel
68900.0,Mercedes-Benz,E 220,2059.0,2025-07-01,Sedan,Automatic,Diesel
43999.0,BMW,X3,64578.0,2022-05-01,SUV,Automatic,Super Plus 98
69880.0,Audi,A6 e-tron,15465.0,2025-04-01,Sedan,Automatic,Electricity
99500.0,Porsche,Cayenne,20050.0,2024-02-01,SUV,Automatic,Super 95
42790.0,Mercedes-Benz,A 200,7000.0,2025-03-01,Sedan,Automatic,Diesel
159800.0,BMW,M5,69.0,2025-06-01,Sedan,Automatic,Regular/Benzine 91
28949.0,BMW,X2,27788.0,2022-08-01,SUV,Automatic,Regular/Benzine 91
71790.0,Audi,Q5,3500.0,2025-08-01,SUV,Automatic,Super E10 95
74990.0,Porsche,Cayenne,111000.0,2021-05-01,SUV,Automatic,Regular/Benzine 91
26900.0,Alfa Romeo,Tonale,2696.0,2023-11-01,SUV,Manual,Regular/Benzine 91
72480.0,Audi,Q7,27262.0,2025-01-01,SUV,Automatic,Diesel
59886.0,Mercedes-Benz,CLA 250,10.0,2025-01-01,Coupe,Automatic,Electricity
84400.0,Mercedes-Benz,GLC 300,7900.0,2025-05-01,SUV,Automatic,Diesel
10999.0,Honda,CR-V,184000.0,2011-04-01,SUV,Manual,Regular/Benzine E10 91
29980.0,BMW,140,76980.0,2019-09-01,Hatchback,Automatic,Super Plus 98
